# Matter power spectrum P(k) at redshift z=0
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.557133129947e-01       3.953093399784e+02 
       4.589401442492e-01       3.896253036390e+02 
       4.621669757216e-01       3.840059280781e+02 
       4.653938074076e-01       3.784553177458e+02 
       4.686206393026e-01       3.729714795767e+02 
       4.718474714023e-01       3.675650072797e+02 
       4.750743037027e-01       3.622371317473e+02 
       4.937999776021e-01       3.332435327326e+02 
       5.139065611954e-01       3.064336210609e+02 
       5.356609251702e-01       2.806816038822e+02 
       5.594224325626e-01       2.555174111567e+02 
       5.856899717417e-01       2.314824367637e+02 
       6.151820208169e-01       2.080423047895e+02 
       6.489806293580e-01       1.850648291007e+02 
       6.888076199561e-01       1.623238893123e+02 
       7.375954322879e-01       1.394691290928e+02 
       8.007642586690e-01       1.160466337744e+02 
       8.892426438048e-01       9.157663213216e+01 
       1.025861980015e+00       6.603557526352e+01 
