# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.169913567971e-01       2.795555150159e+02 
       4.202181850276e-01       2.749604940263e+02 
       4.234450135425e-01       2.705084674530e+02 
       4.266718423353e-01       2.661978563245e+02 
       4.298986713995e-01       2.620395125785e+02 
       4.331255007292e-01       2.580163268382e+02 
       4.363523303185e-01       2.541279684156e+02 
       4.395791601616e-01       2.503565376647e+02 
       4.428059902529e-01       2.466941683835e+02 
       4.460328205870e-01       2.431260422193e+02 
       4.492596511588e-01       2.396351266769e+02 
       4.524864819630e-01       2.362049098884e+02 
       4.557133129947e-01       2.328227875448e+02 
       4.589401442492e-01       2.294751220437e+02 
       4.621669757216e-01       2.261685472067e+02 
       4.653938074076e-01       2.228995309749e+02 
       4.686206393026e-01       2.196699697556e+02 
       4.718474714023e-01       2.164834742676e+02 
       4.750743037027e-01       2.133436309238e+02 
       4.937999776021e-01       1.962805283200e+02 
       5.139065611954e-01       1.804875231999e+02 
       5.356609251702e-01       1.653189567460e+02 
       5.594224325626e-01       1.504892703296e+02 
       5.856899717417e-01       1.363418205231e+02 
       6.151820208169e-01       1.225349849821e+02 
       6.489806293580e-01       1.090021548636e+02 
       6.888076199561e-01       9.560779568089e+01 
       7.375954322879e-01       8.214674057499e+01 
       8.007642586690e-01       6.835109878421e+01 
       8.892426438048e-01       5.393840723215e+01 
       1.025861980015e+00       3.889481851762e+01 
